geoid,doc
170310101002010,2
170310101003010,1
170310102021003,5
170310103002007,1
170310105031015,3
170310106001001,1
170310106001006,1
170310106002008,3
170310107012003,2
170310107022004,2
170310107024003,3
170310201001019,3
170310201001020,1
170310201002005,1
170310202002000,1
170310202002007,2
170310202004046,1
170310203011002,1
170310203012002,1
170310203013000,2
170310203013002,9
170310203013009,1
170310203013016,2
170310203021001,1
170310203022014,3
170310203023003,1
170310205001014,2
170310205004008,1
170310206012014,1
170310206012017,1
170310206012018,1
170310206012020,1
170310206013007,5
170310206013008,1
170310206013014,7
170310206022012,1
170310206023004,1
170310207011000,1
170310207011002,1
170310207011004,1
170310207011019,2
170310207011020,4
170310207011021,1
170310207011032,1
170310207012011,2
170310207021006,2
170310207022005,1
170310207023016,2
170310207024003,2
170310207024014,4
170310208011015,2
170310208012000,1
170310208012001,4
170310208012002,1
170310208013007,1
170310208013012,1
170310208013017,1
170310208014003,3
170310208014004,4
170310208021014,1
170310208021016,6
170310208021017,2
170310208022010,1
170310208022011,2
170310209013016,2
170310301014000,3
170310301021002,1
170310301031002,1
170310301041009,2
170310302001013,1
170310302004002,6
170310302004003,1
170310303001018,1
170310304001017,2
170310305001008,2
170310305002008,1
170310305003014,2
170310305004003,1
170310306041002,3
170310307011000,1
170310307011005,1
170310307033003,3
170310307033007,4
170310307061005,2
170310307061009,2
170310307061010,1
170310308001000,1
170310308001010,1
170310308003000,3
170310308003010,4
170310308004000,2
170310309004008,1
170310310001000,2
170310310002005,21
170310310003000,3
170310310003015,1
170310311001006,1
170310312002001,1
170310312002005,4
170310312003004,3
170310312003005,1
170310313002002,1
170310313004002,1
170310313004003,4
170310314001001,2
170310314004009,6
170310314004010,87
170310315013004,3
170310315021009,2
170310317001006,1
170310317001009,1
170310317002002,1
170310317002009,2
170310317004008,1
170310318001000,1
170310319002008,2
170310319002010,2
170310321003005,4
170310321005000,1
170310321005001,1
170310321005003,6
170310321005005,54
170310401001022,2
170310401002019,1
170310402011002,1
170310402011010,1
170310402011013,1
170310402011014,3
170310402012000,1
170310402012004,15
170310402012005,48
170310402012007,1
170310402012008,30
170310402012010,1
170310402022001,4
170310402022002,2
170310402022003,1
170310402023016,2
170310402024015,1
170310403001006,1
170310403001015,1
170310403002016,6
170310403003000,53
170310403003002,2
170310404011001,1
170310404012009,4
170310404014015,1
170310404023005,1
170310406002017,1
170310406003004,2
170310407001010,1
170310407002000,4
170310407003001,3
170310408001015,1
170310408002003,1
170310408002009,2
170310501001002,1
170310501002025,1
170310502002019,1
170310502002036,4
170310502002043,2
170310502003016,24
170310503003000,1
170310505001002,1
170310505001003,3
170310505002001,1
170310505002002,1
170310506001002,2
170310506001003,1
170310506001022,1
170310508001000,3
170310510001001,2
170310510001002,1
170310510001023,6
170310510001026,1
170310511001003,2
170310511001014,1
170310512002004,1
170310514001000,3
170310514002006,1
170310602002005,1
170310603001025,2
170310603002000,1
170310608001002,2
170310608003001,2
170310608003004,2
170310610001010,1
170310611001005,1
170310611001009,1
170310611001014,1
170310612001008,3
170310619011002,1
170310619022000,1
170310620001005,1
170310620001009,1
170310622001016,2
170310622001017,2
170310623001022,13
170310624001015,4
170310624001019,3
170310625001000,2
170310625001002,2
170310625001003,1
170310625001014,2
170310625001015,4
170310625001016,1
170310626001000,5
170310626001013,3
170310626001023,1
170310627001001,1
170310627001007,1
170310627003000,4
170310627003002,4
170310627003010,2
170310628002004,4
170310628002005,2
170310628003000,4
170310628003001,1
170310628003012,1
170310628003013,1
170310629001000,2
170310629001002,1
170310629001013,5
170310629001014,1
170310629003000,1
170310630001002,2
170310630001006,10
170310630001008,8
170310630001009,67
170310630001010,159
170310630002004,1
170310630002011,22
170310630002015,7
170310630003000,14
170310630003001,20
170310630003002,2
170310630003005,1
170310631001003,3
170310631002002,1
170310632003000,1
170310632006000,1
170310633021003,4
170310633021004,11
170310633023000,1
170310633023003,46
170310633031001,4
170310633031003,11
170310633032004,104
170310634001000,3
170310634001004,3
170310701012002,1
170310701012003,1
170310701013013,1
170310701021001,11
170310701021003,11
170310701022001,4
170310701023000,1
170310701032002,1
170310702001003,1
170310702001009,1
170310702002003,2
170310703001013,1
170310703001028,2
170310703001029,1
170310703002006,1
170310703002007,4
170310704001003,1
170310704001010,1
170310704002014,1
170310704002016,5
170310704003000,3
170310705001000,1
170310705002010,2
170310705003000,1
170310706001000,1
170310706002016,1
170310707002005,1
170310707002012,5
170310707002013,2
170310710001009,1
170310710002000,2
170310710002020,1
170310711001002,1
170310711001006,1
170310711002019,1
170310712001002,67
170310712001011,5
170310712001014,6
170310713001013,1
170310713002005,1
170310713002013,1
170310713002014,1
170310714001000,1
170310714003000,1
170310715001007,4
170310715002000,1
170310715003015,2
170310718002000,2
170310718002001,1
170310801002004,3
170310801002005,1
170310802012005,1
170310802013001,1
170310802022002,1
170310802023001,1
170310803001004,1
170310803002000,3
170310803002001,2
170310804001002,1
170310804001007,1
170310804002004,7
170310810001001,1
170310810003001,3
170310810003002,9
170310810006000,2
170310810006001,1
170310811001000,1
170310811001005,1
170310812011000,11
170310812011003,11
170310812012000,2
170310812012003,6
170310812012006,1
170310812013000,1
170310812022000,1
170310812023000,1
170310812024000,2
170310813003000,2
170310813003001,4
170310813006001,14
170310814011000,597
170310814011001,39
170310814011002,22
170310814011003,304
170310814011004,684
170310814011005,68
170310814011006,43
170310814012002,2
170310814012003,58
170310814012006,6
170310814012007,42
170310814012008,1
170310814012009,6
170310814012011,98
170310814012014,31
170310814012016,11
170310814021009,4
170310814021010,3
170310814022001,3
170310814023001,1
170310814031013,3
170310814031036,3
170310814032000,7
170310814032002,46
170310814032003,14
170310814033001,2
170310814033002,1
170310814033005,1
170310815001001,6
170310815001002,1
170310815001003,4
170310815001004,9
170310815002004,1
170310815002006,6
170310815003000,10
170310815003002,3
170310815003003,1
170310815003007,5
170310815003010,1
170310815003012,1
170310815003013,1
170310816001000,3
170310816001003,6
170310816001009,2
170310816002002,2
170310817001006,1
170310817001012,1
170310817002015,1
170310817002023,1
170310817002038,1
170310817002042,22
170310818001002,1
170310818001010,6
170310818001013,2
170310818001016,4
170310818001017,2
170310818001020,2
170310818002016,1
170310818002018,1
170310818002020,1
170310818002029,1
170310818002031,1
170310818002052,2
170310818003014,1
170310901001001,1
170310901003015,1
170310902003017,1
170310902003027,2
170310902004021,1
170310902004026,3
170310902004028,1
170310903001035,1
170311001001014,1
170311001001016,2
170311001001017,2
170311001001018,2
170311001001026,1
170311001002017,5
170311001002027,1
170311001002031,2
170311001002042,1
170311001002046,1
170311001002047,1
170311002001019,1
170311002002001,5
170311002004003,1
170311002005020,3
170311003003001,1
170311004002008,1
170311004003000,219
170311006001033,9
170311006002008,1
170311006002009,1
170311006003022,1
170311006004026,1
170311006004027,1
170311006004029,3
170311006004030,1
170311006004031,1
170311006004058,2
170311006004072,1
170311101002002,1
170311101003008,1
170311101003018,2
170311101004012,1
170311102001007,3
170311102001011,3
170311102001012,7
170311102001018,4
170311102002000,2
170311102002001,1
170311103003021,1
170311104002000,5
170311104003007,1
170311104003013,1
170311104003014,1
170311105012005,1
170311105012012,1
170311105014003,1
170311105015016,1
170311105021007,1
170311105021008,1
170311105021021,1
170311105022032,2
170311105022036,3
170311201003013,1
170311201003019,1
170311201004001,3
170311202001034,2
170311202001038,2
170311202002015,1
170311202002018,3
170311202002022,1
170311202003000,1
170311202004001,1
170311202004003,1
170311202004008,32
170311202004023,5
170311203001012,2
170311203002012,3
170311203002020,1
170311203003029,1
170311203004008,1
170311203004009,1
170311204002003,1
170311301003001,2
170311301003003,4
170311301003004,3
170311301003005,11
170311301003007,1
170311301003038,4
170311301003039,4
