docid,doc
15,2
29,1
102,5
139,1
267,3
283,1
288,1
312,3
363,1
396,2
415,3
437,3
438,1
449,1
475,1
482,2
576,1
579,1
588,1
598,2
600,9
607,1
614,2
627,1
653,3
657,1
691,1
759,2
791,1
838,1
841,1
842,1
844,1
857,5
858,1
864,7
889,1
896,1
921,1
923,1
925,1
940,2
941,4
942,1
953,1
966,2
981,2
1005,1
1036,2
1040,2
1051,4
1069,2
1074,1
1075,4
1076,1
1101,1
1106,1
1111,1
1117,3
1118,4
1148,1
1150,6
1151,2
1164,1
1165,2
1252,2
1304,2
1306,1
1309,1
1320,1
1338,2
1354,1
1394,6
1395,1
1432,1
1471,2
1504,2
1518,1
1546,2
1554,1
1590,3
1599,1
1604,1
1620,3
1624,4
1630,2
1634,2
1635,1
1642,1
1652,1
1672,3
1682,4
1688,2
1766,1
1772,2
1789,21
1800,3
1815,1
1822,1
1847,1
1851,4
1858,3
1859,1
1883,1
1891,1
1892,4
1901,2
1921,6
1922,87
1951,3
1963,2
1978,1
1981,1
1984,1
1991,2
2009,1
2010,1
2045,2
2047,2
2064,4
2066,1
2067,1
2069,6
2071,54
2095,2
2128,1
2153,1
2161,1
2164,1
2165,3
2175,1
2179,15
2180,48
2182,1
2183,30
2185,1
2251,4
2252,2
2253,1
2290,2
2308,1
2318,1
2327,1
2345,6
2347,53
2348,2
2365,1
2389,4
2419,1
2441,1
2499,1
2504,2
2527,1
2530,4
2543,3
2575,1
2579,1
2585,2
2620,1
2655,1
2699,1
2716,4
2723,2
2740,24
2775,1
2786,1
2787,3
2800,1
2801,1
2869,2
2870,1
2889,1
2939,3
2990,2
2991,1
3012,6
3015,1
3022,2
3033,1
3060,1
3110,3
3136,1
3194,1
3226,2
3230,1
3311,2
3318,2
3321,2
3357,1
3367,1
3371,1
3376,1
3389,3
3427,1
3444,1
3473,1
3477,1
3527,2
3528,2
3569,13
3589,4
3593,3
3595,2
3597,2
3598,1
3609,2
3610,4
3611,1
3614,5
3627,3
3637,1
3644,1
3650,1
3669,4
3671,4
3679,2
3705,4
3706,2
3714,4
3715,1
3726,1
3727,1
3731,2
3733,1
3744,5
3745,1
3762,1
3784,2
3788,10
3790,8
3791,67
3792,179
3798,1
3805,22
3809,7
3810,14
3812,2
3815,1
3821,3
3824,1
3835,1
3858,1
3874,4
3875,11
3877,1
3880,46
3884,4
3886,11
3891,104
3892,3
3896,3
3909,1
3910,1
3924,1
3927,11
3929,11
3931,4
3935,1
3940,1
3944,1
3950,1
3956,2
3981,1
