popid,pop
1,128
2,71
3,45
4,335
5,152
6,45
7,363
8,42
9,154
10,151
11,193
12,143
13,274
14,0
15,149
16,223
17,120
18,302
19,268
20,0
21,0
22,148
23,291
24,174
25,171
26,182
27,192
28,114
29,153
30,236
31,35
32,141
33,74
34,68
35,75
36,117
37,107
38,151
39,237
40,138
41,42
42,134
43,32
44,62
45,67
46,40
47,66
48,133
49,74
50,0
51,0
52,19
53,0
54,111
55,86
56,36
57,45
58,76
59,36
60,88
61,413
62,82
63,127
64,77
65,35
66,0
67,104
68,26
69,79
70,378
71,234
72,50
73,116
74,35
75,15
76,175
77,82
78,71
79,80
80,105
81,105
82,210
83,56
84,135
85,26
86,246
87,155
88,51
89,52
90,88
91,157
92,183
93,10
94,57
95,69
96,28
97,112
98,171
99,61
100,194
101,0
102,0
103,406
104,174
105,16
106,127
107,0
108,132
109,0
110,5
111,130
112,20
113,33
114,78
115,1
116,68
117,219
118,205
119,129
120,446
121,84
122,122
123,168
124,266
125,46
126,31
127,99
128,114
129,90
130,158
131,143
132,275
133,86
134,159
135,0
136,149
137,136
138,38
139,0
140,0
141,184
142,90
143,196
144,233
145,145
146,90
147,299
148,93
149,6
150,647
151,68
152,222
153,170
154,53
155,198
156,39
157,253
158,84
159,181
160,29
161,32
162,220
163,0
164,65
165,272
166,45
167,14
168,108
169,109
170,85
171,88
172,128
173,136
174,140
175,444
176,304
177,251
178,4
179,186
180,0
181,142
182,120
183,0
184,202
185,136
186,124
187,109
188,0
189,5
190,52
191,268
192,200
193,0
194,812
195,0
196,165
197,218
198,128
199,304
200,20
201,28
202,544
203,0
204,161
205,249
206,172
207,289
208,178
209,145
210,182
211,91
212,200
213,608
214,206
215,218
216,69
217,260
218,119
219,82
220,214
221,130
222,76
223,72
224,164
225,55
226,74
227,77
228,241
229,84
230,62
231,53
232,140
233,135
234,233
235,83
236,81
237,74
238,0
239,0
240,148
241,392
242,227
243,149
244,138
245,96
246,204
247,70
248,149
249,110
250,146
251,86
252,155
253,15
254,73
255,41
256,57
257,101
258,490
259,47
260,66
261,71
262,83
263,84
264,0
265,84
266,47
267,52
268,16
269,0
270,0
271,0
272,74
273,73
274,60
275,169
276,227
277,0
278,105
279,0
280,71
281,29
282,0
283,0
284,0
285,215
286,166
287,94
288,135
289,73
290,104
291,273
292,160
293,82
294,45
295,26
296,78
297,52
298,72
299,45
300,20
301,113
302,91
303,47
304,0
305,0
306,187
307,59
308,64
309,70
310,292
311,180
312,0
313,0
314,163
315,183
316,136
317,157
318,119
319,102
320,149
321,256
322,145
323,213
324,111
325,164
326,0
327,0
328,0
329,118
330,9
331,44
332,0
333,0
334,231
335,101
336,130
337,199
338,145
339,46
340,90
341,343
342,0
343,47
344,196
345,43
346,188
347,41
348,0
349,0
350,63
351,237
352,115
353,94
354,59
355,45
356,112
357,44
358,243
359,109
360,257
361,148
362,120
363,230
364,124
365,125
366,123
367,148
368,36
369,64
370,237
371,46
372,54
373,88
374,22
375,194
376,41
377,68
378,103
379,176
380,132
381,10
382,84
383,70
384,223
385,295
386,81
387,22
388,11
389,13
390,207
391,248
392,257
393,123
394,2
395,78
396,89
397,0
398,6
399,41
400,282
401,204
402,83
403,337
404,66
405,107
406,103
407,7
408,265
409,158
410,416
411,69
412,235
413,120
414,105
415,63
416,201
417,154
418,146
419,117
420,168
421,136
422,103
423,69
424,13
425,24
426,112
427,69
428,55
429,86
430,140
431,54
432,97
433,86
434,94
435,80
436,185
437,39
438,87
439,49
440,87
441,126
442,12
443,179
444,0
445,1115
446,0
447,12
448,11
449,0
450,143
451,137
452,134
453,0
454,52
455,51
456,50
457,57
458,46
459,46
460,40
461,43
462,64
463,270
464,45
465,527
466,31
467,17
468,30
469,15
470,54
471,73
472,46
473,43
474,78
475,51
476,108
477,85
478,16
479,16
480,28
481,18
482,525
483,46
484,104
485,90
486,47
487,33
488,160
489,66
490,55
491,61
492,66
493,53
494,52
495,66
496,50
497,74
498,54
499,53
500,25
501,26
502,33
503,55
504,40
505,41
506,64
507,30
508,35
509,43
510,45
511,31
512,23
513,52
514,76
515,27
516,29
517,17
518,31
519,25
520,43
521,61
522,45
523,8
524,15
525,34
526,45
527,47
528,29
529,19
530,109
531,246
532,72
533,80
534,22
535,13
536,52
537,0
538,41
539,34
540,47
541,31
542,32
543,30
544,21
545,39
546,32
547,145
548,23
549,23
550,17
551,82
552,90
553,0
554,16
555,16
556,17
557,25
558,27
559,24
560,28
561,23
562,18
563,52
564,18
565,20
566,28
567,28
568,28
569,31
570,30
571,42
572,38
573,22
574,53
575,36
576,26
577,0
578,125
579,319
580,360
581,0
582,0
583,405
584,0
585,349
586,259
587,356
588,121
589,91
590,34
591,51
592,55
593,56
594,71
595,65
596,90
597,101
598,6
599,0
600,2
601,70
602,55
603,63
604,75
605,49
606,58
607,49
608,62
609,62
610,55
611,53
612,56
613,55
614,109
615,124
616,46
617,81
618,62
619,63
620,51
621,40
622,58
623,245
624,127
625,66
626,104
627,20
628,73
629,169
630,171
631,39
632,77
633,93
634,116
635,96
636,88
637,156
638,132
639,91
640,95
641,92
642,78
643,111
644,58
645,64
646,51
647,38
648,52
649,36
650,49
651,41
652,42
653,98
654,370
655,0
656,60
657,73
658,348
659,131
660,146
661,0
662,21
663,68
664,12
665,62
666,132
667,0
668,46
669,37
670,26
671,94
672,45
673,41
674,39
675,30
676,11
677,0
678,33
679,39
680,31
681,49
682,43
683,43
684,33
685,55
686,37
687,81
688,65
689,19
690,0
691,13
692,85
693,150
694,132
695,67
696,31
697,61
698,40
699,43
700,34
701,42
702,40
703,37
704,6
705,103
706,10
707,28
708,28
709,66
710,55
711,37
712,29
713,45
714,33
715,105
716,54
717,74
718,51
719,89
720,39
721,41
722,16
723,196
724,81
725,44
726,154
727,102
728,127
729,330
730,43
731,154
732,65
733,9
734,61
735,170
736,93
737,119
738,158
739,212
740,89
741,134
742,85
743,28
744,30
745,762
746,275
747,92
748,138
749,120
750,120
751,46
752,155
753,0
754,109
755,102
756,48
757,195
758,85
759,51
760,67
761,147
762,71
763,57
764,70
765,159
766,0
767,30
768,38
769,104
770,133
771,96
772,39
773,112
774,0
775,328
776,237
777,92
778,228
779,203
780,397
781,154
782,103
783,164
784,102
785,117
786,79
787,54
788,103
789,70
790,114
791,123
792,47
793,78
794,0
795,32
796,28
797,17
798,34
799,27
800,18
801,114
802,164
803,213
804,29
805,79
806,62
807,90
808,51
809,37
810,36
811,27
812,46
813,48
814,60
815,70
816,72
817,69
818,42
819,63
820,70
821,50
822,91
823,87
824,186
825,208
826,174
827,229
828,165
829,166
830,126
831,75
832,69
833,95
834,147
835,155
836,166
837,139
838,157
839,132
840,44
841,8
842,85
843,39
844,36
845,122
846,143
847,56
848,29
849,57
850,218
851,146
852,124
853,143
854,67
855,206
856,48
857,0
858,127
859,109
860,59
861,207
862,11
863,54
864,0
865,0
866,173
867,115
868,92
869,109
870,123
871,118
872,123
873,113
874,109
875,99
876,0
877,0
878,133
879,53
880,114
881,73
882,48
883,139
884,72
885,112
886,101
887,162
888,3
889,86
890,0
891,25
892,47
893,53
894,77
895,45
896,46
897,126
898,162
899,108
900,52
901,118
902,68
903,103
904,11
905,47
906,33
907,41
908,51
909,37
910,22
911,41
912,96
913,132
914,111
915,113
916,56
917,80
918,43
919,78
920,48
921,0
922,2
923,12
924,0
925,142
926,68
927,11
928,14
929,51
930,6
931,56
932,0
933,43
934,21
935,26
936,64
937,39
938,20
939,0
940,0
941,0
942,0
943,38
944,4
945,32
946,14
947,41
948,30
949,20
950,8
951,17
952,19
953,24
954,0
955,5
956,39
957,104
958,79
959,46
960,41
961,73
962,69
963,52
964,0
965,69
966,21
967,23
968,10
969,94
970,50
971,30
972,21
973,12
974,44
975,0
976,0
977,23
978,109
979,0
980,185
981,78
982,35
983,0
984,42
985,20
986,171
987,126
988,161
989,58
990,132
991,131
992,128
993,43
994,46
995,67
996,71
997,57
998,135
999,0
1000,0
1001,0
1002,46
1003,12
1004,137
1005,139
1006,26
1007,192
1008,324
1009,183
1010,201
1011,148
1012,73
1013,179
1014,146
1015,95
1016,185
1017,80
1018,175
1019,267
1020,149
1021,156
1022,169
1023,124
1024,159
1025,181
1026,94
1027,83
1028,43
1029,45
1030,74
1031,108
1032,165
1033,125
1034,70
1035,0
1036,0
1037,106
1038,43
1039,63
1040,124
1041,47
1042,46
1043,61
1044,66
1045,120
1046,119
1047,68
1048,69
1049,91
1050,0
1051,0
1052,0
1053,0
1054,17
1055,160
1056,151
1057,111
1058,116
1059,111
1060,138
1061,80
1062,57
1063,73
1064,58
1065,90
1066,103
1067,84
1068,127
1069,24
1070,37
1071,11
1072,0
1073,97
1074,15
1075,16
1076,14
1077,0
1078,41
1079,55
1080,105
1081,57
1082,55
1083,44
1084,79
1085,58
1086,68
1087,49
1088,45
1089,55
1090,67
1091,69
1092,51
1093,109
1094,124
1095,112
1096,94
1097,148
1098,89
1099,105
1100,48
1101,46
1102,104
1103,45
1104,61
1105,0
1106,58
1107,7
1108,0
1109,1
1110,28
1111,20
1112,2
1113,78
1114,0
1115,0
1116,35
1117,0
1118,0
1119,86
1120,95
1121,91
1122,92
1123,59
1124,97
1125,135
1126,85
1127,120
1128,102
1129,120
1130,155
1131,142
1132,161
1133,16
1134,0
1135,105
1136,135
1137,127
1138,137
1139,48
1140,43
1141,56
1142,62
1143,59
1144,48
1145,34
1146,54
1147,60
1148,51
1149,0
1150,0
1151,23
1152,0
1153,0
1154,175
1155,143
1156,205
1157,174
1158,165
1159,178
1160,0
1161,0
1162,85
1163,122
1164,2
1165,6
1166,127
1167,133
1168,124
1169,0
1170,157
1171,0
1172,72
1173,46
1174,28
1175,3
1176,152
1177,226
1178,107
1179,126
1180,174
1181,267
1182,242
1183,218
1184,214
1185,167
1186,113
1187,150
1188,28
1189,58
1190,168
1191,0
1192,0
1193,20
1194,13
1195,257
1196,177
1197,78
1198,6
1199,214
1200,141
1201,54
1202,56
1203,0
1204,71
1205,146
1206,96
1207,49
1208,62
1209,40
1210,38
1211,48
1212,860
1213,0
1214,37
1215,54
1216,35
1217,80
1218,109
1219,153
1220,138
1221,179
1222,165
1223,142
1224,0
1225,137
1226,144
1227,105
1228,32
1229,35
1230,114
1231,60
1232,51
1233,73
1234,143
1235,104
1236,57
1237,257
1238,197
1239,220
1240,229
1241,191
1242,33
1243,0
1244,112
1245,198
1246,180
1247,80
1248,92
1249,120
1250,3
1251,2
1252,5
1253,118
1254,116
1255,61
1256,0
1257,0
1258,137
1259,48
1260,50
1261,118
1262,223
1263,24
1264,140
1265,0
1266,0
1267,0
1268,0
1269,236
1270,169
1271,149
1272,241
1273,36
1274,135
1275,75
1276,58
