orig,acc2700
165554,0
34263,0
126718,0
120050,0
95732,0
60066,0
127823,0
20053,0
147281,0
130388,0
91968,0
110399,0
165807,0
157580,0
115029,0
164433,0
113889,0
36399,0
58986,0
83910,0
53756,0
155792,0
2718,0
125609,0
48469,0
46353,0
90767,0
15486,0
114299,0
63445,0
135080,0
116194,0
159090,0
11400,0
104364,0
53971,0
147751,0
81432,0
16035,0
106963,0
149913,0
115726,0
24912,0
118118,0
42604,0
10462,0
111638,0
100977,0
112178,0
35944,0
1126,0
50354,0
164848,0
56344,0
88797,0
63492,0
113305,0
134983,0
40725,0
125251,0
24983,0
98815,0
142331,0
83796,0
32895,0
9420,0
20354,0
78956,0
47245,0
135620,0
165747,0
115493,0
145387,0
11704,0
121360,0
38901,0
121922,0
103906,0
76649,0
78226,0
140277,0
99903,0
28535,0
91900,0
83203,0
98400,0
18927,0
139962,0
74014,0
94838,0
44588,0
118315,0
12876,0
9091,0
36625,0
158596,0
43592,0
42006,0
102470,0
19431,0
137517,0
146380,0
130813,0
84179,0
31104,0
40330,0
28446,0
87178,0
143995,0
44005,0
63784,0
1633,0
114679,0
158607,0
1993,0
67718,0
56038,0
135641,0
38160,0
55039,0
35977,0
50351,0
87837,0
20909,0
128786,0
118375,0
6136,0
130313,0
100109,0
127485,0
147619,0
152365,0
90780,0
57203,0
37722,0
161830,0
9240,0
56326,0
88046,0
52462,0
20586,0
92461,0
44820,0
85714,0
150568,0
91117,0
111297,0
29687,0
105592,0
154072,0
156249,0
40783,0
92848,0
122293,0
163038,0
53852,0
88417,0
85750,0
102747,0
12463,0
115753,0
33321,0
160001,0
144568,0
42869,0
108726,0
85138,0
130797,0
24370,0
148945,0
81498,0
145466,0
152715,0
11743,0
16888,0
166158,0
161330,0
164316,0
32735,0
78746,0
60175,0
80665,0
103817,0
102884,0
8147,0
128108,0
137133,0
62242,0
150232,0
146160,0
4477,0
107787,0
61507,0
9913,0
38077,0
42473,0
121845,0
10033,0
149344,0
28416,0
99072,0
52241,0
1,0
131661,0
50124,0
115566,0
80503,0
52069,0
78785,0
52616,0
72191,0
104378,0
48511,0
135674,0
74490,0
95599,0
135494,0
74905,0
129254,0
110302,0
55575,0
128133,0
143787,0
101277,0
63789,0
103306,0
4899,0
30880,0
100988,0
36097,0
45648,0
131789,0
136526,0
51375,0
112189,0
127504,0
117788,0
110384,0
79671,0
143432,0
105587,0
142400,0
46502,0
5002,0
103150,0
38664,0
95343,0
20334,0
30081,0
152274,0
103553,0
61873,0
124373,0
123794,0
132862,0
61707,0
63820,0
22585,0
99129,0
98809,0
118166,0
4334,0
109506,0
124298,0
63312,0
59747,0
12435,0
119564,0
90872,0
53145,0
105456,0
28234,0
90734,0
140569,0
58460,0
111027,0
119722,0
164058,0
155646,0
113136,0
53772,0
160843,0
82257,0
18403,0
127340,0
44962,0
57514,0
99807,0
74325,0
36073,0
4847,0
65207,0
119894,0
26034,0
156600,0
76469,0
3039,0
30985,0
129180,0
123651,0
37782,0
87419,0
103148,0
119220,0
142258,0
39932,0
18425,0
37372,0
116551,0
33911,0
139699,0
6086,0
20922,0
25942,0
23653,0
48799,0
37356,0
103237,0
60300,0
65125,0
105753,0
78045,0
72256,0
82716,0
133333,0
131363,0
163504,0
20287,0
87950,0
164113,0
156894,0
39298,0
86998,0
43439,0
135698,0
94495,0
20794,0
4042,0
16503,0
145561,0
29954,0
19203,0
57096,0
11678,0
124264,0
154373,0
110367,0
12365,0
140824,0
104497,0
977,0
58139,0
59918,0
103615,0
96635,0
27091,0
24089,0
128862,0
87772,0
20075,0
4096,0
48258,0
1694,0
36165,0
11742,0
6799,0
6820,0
95963,0
57678,0
114148,0
81609,0
1528,0
117365,0
100561,0
115204,0
76588,0
76717,0
94584,0
81656,0
31040,0
59177,0
97480,0
122756,0
103200,0
41093,0
158389,0
7686,0
41258,0
145106,0
92373,0
135787,0
128976,0
55037,0
106090,0
122170,0
27113,0
103522,0
49793,0
161769,0
17125,0
10897,0
17079,0
22488,0
80779,0
97464,0
122411,0
128801,0
16338,0
21959,0
56753,0
103239,0
141947,0
145130,0
59974,0
1865,0
143596,0
140499,0
75316,0
124289,0
16681,0
19743,0
34444,0
71036,0
100202,0
20879,0
140205,0
116870,0
166350,0
14650,0
3675,0
85548,0
165526,0
57621,0
67203,0
69593,0
129658,0
28743,0
88618,0
118761,0
110051,0
64684,0
124078,0
137281,0
73386,0
40983,0
79656,0
135490,0
42150,0
34181,0
107768,0
29675,0
87840,0
152849,0
9495,0
66227,0
16282,0
83784,0
20385,0
29542,0
48603,0
3635,0
139673,0
135427,0
106391,0
118768,0
139919,0
127493,0
53917,0
110919,0
78672,0
14766,0
110982,0
104227,0
66970,0
142237,0
67831,0
10210,0
6862,0
82435,0
81321,0
118781,0
19102,0
133203,0
113149,0
152280,0
31148,0
6312,0
97462,0
139341,0
242,0
121910,0
452,0
110045,0
12175,0
92410,0
147386,0
49340,0
27004,0
50146,0
78550,0
37841,0
147949,0
23613,0
51109,0
148544,0
152200,0
119560,0
116976,0
155330,0
153072,0
151246,0
27084,0
54377,0
150409,0
7554,0
15210,0
164728,0
128789,0
115855,0
5856,0
1897,0
35055,0
81685,0
116199,0
72670,0
38013,0
141905,0
2957,0
44288,0
75069,0
16930,0
136160,0
117582,0
107338,0
101589,0
27154,0
112241,0
5351,0
129703,0
4812,0
35682,0
81220,0
19121,0
4863,0
52625,0
115919,0
101692,0
14593,0
76701,0
144589,0
74826,0
65313,0
74876,0
140005,0
156110,0
138645,0
15862,0
44287,0
25476,0
111491,0
59765,0
70832,0
27987,0
45787,0
93251,0
97528,0
65264,0
109504,0
98538,0
25741,0
108489,0
112005,0
126006,0
77258,0
21666,0
50599,0
97095,0
10801,0
147078,0
86339,0
6115,0
35417,0
40113,0
99820,0
131220,0
49559,0
61451,0
45976,0
59740,0
49249,0
89484,0
87949,0
72976,0
144983,0
53158,0
62213,0
155556,0
27667,0
30467,0
51310,0
27107,0
61368,0
130145,0
127954,0
4119,0
106376,0
115945,0
74736,0
165123,0
61192,0
94254,0
93150,0
52679,0
8846,0
141282,0
142794,0
151934,0
133243,0
110772,0
56313,0
27892,0
3818,0
90806,0
79663,0
130230,0
64485,0
53615,0
89956,0
132569,0
107432,0
98640,0
151942,0
74635,0
70848,0
27148,0
153515,0
40940,0
55553,0
79344,0
38,0
22340,0
87977,0
34301,0
21402,0
126709,0
38254,0
66972,0
30884,0
66127,0
151568,0
157329,0
127159,0
136716,0
16928,0
73955,0
64205,0
86968,0
116973,0
10148,0
42138,0
139180,0
138626,0
80789,0
47690,0
139610,0
87713,0
101093,0
90111,0
34727,0
139616,0
81233,0
115572,0
136666,0
109831,0
28945,0
87320,0
56493,0
106360,0
10864,0
112615,0
150269,0
69341,0
17245,0
51148,0
69790,0
19092,0
49057,0
71558,0
24777,0
42991,0
141668,0
111387,0
55141,0
127162,0
4235,0
138952,0
154160,0
99105,0
43905,0
100553,0
17917,0
62762,0
157672,0
140331,0
96403,0
80152,0
18565,0
103074,0
156442,0
72541,0
